rank,title,profit
1,Avatar,2686.706026
2,Avengers: Endgame,2443.4391
3,Titanic,2064.162353
4,Star Wars: The Force Awakens,1823.2236240000002
5,Avengers: Infinity War,1752.415039
6,Jurassic World,1521.537444
7,The Lion King,1402.020819
8,Furious 7,1325.4
9,Frozen II,1303.683476
10,The Avengers,1298.815515
