rank,title,vote_count
1,The Avengers,35399
2,Avatar,33330
3,Avengers: Infinity War,31385
4,Avengers: Endgame,27170
5,Titanic,26702
6,Avengers: Age of Ultron,24048
7,Black Panther,23106
8,Harry Potter and the Deathly Hallows: Part 2,21609
9,Jurassic World,21256
10,Star Wars: The Force Awakens,20226
