rank,title,roi
1,Star Wars: The Last Jedi,4.442329433333334
2,Avengers: Age of Ultron,5.98044125106383
3,Incredibles 2,6.216128335
4,The Lion King,6.3923877653846155
5,Black Panther,6.749630415
6,Avengers: Infinity War,6.841383463333333
7,The Avengers,6.903706886363636
8,Jurassic World: Fallen Kingdom,7.708641394117647
9,Avengers: Endgame,7.86359297752809
10,Beauty and the Beast,7.913224775000001
