rank,title,vote_average,vote_count
1,Avengers: Infinity War,8.235,31385
2,Avengers: Endgame,8.2,27170
3,Harry Potter and the Deathly Hallows: Part 2,8.081,21608
4,The Avengers,7.919,35391
5,Titanic,7.902,26702
6,Avatar,7.6,33326
7,Incredibles 2,7.5,13462
8,Black Panther,7.363,23106
9,Avengers: Age of Ultron,7.3,24047
10,Star Wars: The Force Awakens,7.253,20226
