rank,title,revenue_musd
1,Avatar,2923.706026
2,Avengers: Endgame,2799.4391
3,Titanic,2264.162353
4,Star Wars: The Force Awakens,2068.223624
5,Avengers: Infinity War,2052.415039
6,Jurassic World,1671.537444
7,The Lion King,1662.020819
8,The Avengers,1518.815515
9,Furious 7,1515.4
10,Frozen II,1453.683476
