rank,title,roi
1,Avatar,12.33631234599156
2,Titanic,11.320811765
3,Jurassic World,11.14358296
4,Harry Potter and the Deathly Hallows: Part 2,10.732089752
5,Frozen II,9.691223173333332
6,Frozen,8.494793393333333
7,Star Wars: The Force Awakens,8.441729077551022
8,Furious 7,7.975789473684211
9,Beauty and the Beast,7.913224775000001
10,Avengers: Endgame,7.86359297752809
