rank,title,profit
1,Star Wars: The Last Jedi,1032.69883
2,Incredibles 2,1043.225667
3,Beauty and the Beast,1106.115964
4,Frozen,1124.219009
5,Jurassic World: Fallen Kingdom,1140.469037
6,Black Panther,1149.926083
7,Avengers: Age of Ultron,1170.403694
8,Harry Potter and the Deathly Hallows: Part 2,1216.511219
9,The Avengers,1298.815515
10,Frozen II,1303.683476
