rank,title,budget_musd
1,Avengers: Endgame,356.0
2,Avengers: Infinity War,300.0
3,Star Wars: The Last Jedi,300.0
4,The Lion King,260.0
5,Star Wars: The Force Awakens,245.0
6,Avatar,237.0
7,Avengers: Age of Ultron,235.0
8,The Avengers,220.0
9,Titanic,200.0
10,Black Panther,200.0
