rank,title,vote_average,vote_count
1,Jurassic World: Fallen Kingdom,6.535,12507
2,Jurassic World,6.7,21254
3,Star Wars: The Last Jedi,6.76,16045
4,Beauty and the Beast,6.968,15885
5,The Lion King,7.097,10617
6,Furious 7,7.218,11103
7,Frozen II,7.237,10128
8,Frozen,7.248,17300
9,Star Wars: The Force Awakens,7.253,20226
10,Avengers: Age of Ultron,7.3,24047
