rank,title,popularity
1,The Avengers,82.8271
2,Avatar,48.9819
3,Avengers: Infinity War,31.32
4,Titanic,30.564
5,Frozen,21.0553
6,Harry Potter and the Deathly Hallows: Part 2,19.3177
7,Avengers: Endgame,19.1569
8,Beauty and the Beast,18.852
9,Avengers: Age of Ultron,16.4157
10,Black Panther,13.8097
